"timestamp","most_granular_identity","identities","internal_ip","external_ip","action","query_type","response_code","domain","categories","most_granular_identity_type","identity_types","blocked_categories","rule_id","destination_countries","organization_id"
"2026-04-14 08:15:32","alice@acme.corp","alice@acme.corp,HQ-Network","10.0.1.42","203.0.113.1","Allowed","1 (A)","NOERROR","chat.openai.com.","Generative AI,Computers and Internet","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:15:33","alice@acme.corp","alice@acme.corp,HQ-Network","10.0.1.42","203.0.113.1","Allowed","28 (AAAA)","NOERROR","chat.openai.com.","Generative AI,Computers and Internet","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:16:02","bob@acme.corp","bob@acme.corp,HQ-Network","10.0.1.50","203.0.113.1","Allowed","1 (A)","NOERROR","claude.ai.","Generative AI,Computers and Internet","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:16:44","bob@acme.corp","bob@acme.corp,HQ-Network","10.0.1.50","203.0.113.1","Allowed","1 (A)","NOERROR","api.anthropic.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:17:11","Laptop-33","Laptop-33,HQ-Network","10.0.1.33","203.0.113.1","Allowed","1 (A)","NOERROR","copilot.microsoft.com.","Generative AI,Business Services","Roaming Computer","Roaming Computer,Network","","101","US","9999"
"2026-04-14 08:18:05","carol@acme.corp","carol@acme.corp,HQ-Network","10.0.1.44","203.0.113.1","Allowed","1 (A)","NOERROR","gemini.google.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:18:22","dave@acme.corp","dave@acme.corp,HQ-Network","10.0.1.55","203.0.113.1","Allowed","1 (A)","NOERROR","huggingface.co.","Software/Technology,Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:19:13","eve@acme.corp","eve@acme.corp,HQ-Network","10.0.1.66","203.0.113.1","Blocked","1 (A)","NXDOMAIN","character.ai.","Generative AI,Uncategorized","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:19:14","eve@acme.corp","eve@acme.corp,HQ-Network","10.0.1.66","203.0.113.1","Blocked","28 (AAAA)","NXDOMAIN","character.ai.","Generative AI,Uncategorized","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:20:17","alice@acme.corp","alice@acme.corp,HQ-Network","10.0.1.42","203.0.113.1","Allowed","1 (A)","NOERROR","api.openai.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:22:41","Guest-Laptop","Guest-Laptop,Guest-Network","10.0.1.77","203.0.113.2","Allowed","1 (A)","NOERROR","perplexity.ai.","Generative AI","Roaming Computer","Roaming Computer,Network","","101","US","9999"
"2026-04-14 08:23:00","frank@acme.corp","frank@acme.corp,HQ-Network","10.0.1.88","203.0.113.1","Allowed","1 (A)","NOERROR","replicate.com.","Software/Technology,Generative AI","AD User","AD User,Network","","101","US","9999"
"2026-04-14 08:25:18","grace@acme.corp","grace@acme.corp,HQ-Network","10.0.1.99","203.0.113.1","Allowed","1 (A)","NOERROR","api.openai.com.","Generative AI","AD User","AD User,Network","","101","US","9999"
